ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement
cjhntxm42qr2k0702hp0shv7y,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BNC%5Dupi.jpg?alt=media&token=de01c346-c79c-4f85-acf7-603a71a88bd8,"{""Construction or no construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365417000,6.898,[NC]upi.jpg,
cjhntxo2r0goj07563meozg24,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BC%5Dmontreal-que-june-6-2016-a-construction-worker-walks.jpeg?alt=media&token=8b4ab8cd-c738-4019-8a82-355edca78a01,"{""Construction or no construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365419000,2.616,[C]montreal-que-june-6-2016-a-construction-worker-walks.jpeg,
cjhntxrjeqr2z07023xb4j8fb,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2015.02.08.png?alt=media&token=58fc767a-d8d8-4abc-ba44-c46e6203d721,"{""Construction or no construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365424000,4.426,[NC]Screen Shot 2018-05-26 at 15.02.08.png,
cjhntxvmjqr3e0702xx3kbzsk,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BNC%5Dpop.jpg?alt=media&token=87e7cc64-e1df-42c2-91f7-ce6a9b96a8b4,"{""Construction or no construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365429000,5.279,[NC]pop.jpg,
cjhntxyaf0gq40756nksmlqh2,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BC%5DScreen%20Shot%202018-05-26%20at%2014.25.21.png?alt=media&token=edcb0ad4-2986-42ad-b064-c756bcb7de33,"{""Construction or no construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365433000,3.531,[C]Screen Shot 2018-05-26 at 14.25.21.png,
cjhnty0alqr3q07021n3eyp1x,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2015.03.10.png?alt=media&token=b2f72e44-1696-4639-9501-15b8c67b01e9,"{""Construction or no construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365435000,2.51,[NC]Screen Shot 2018-05-26 at 15.03.10.png,
cjhnty2ztqr4907026cuu1wb3,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BNC%5D76.jpg?alt=media&token=3381440f-9a30-415a-9fdd-cab3703017f8,"{""Construction or no construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365439000,3.597,[NC]76.jpg,
cjhnty4hn0gru07567tobot5f,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BC%5DScreen%20Shot%202018-05-26%20at%2014.46.41.png?alt=media&token=f83ba4cf-989c-4251-ae07-4e5fbd45071c,"{""Construction or no construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365441000,1.865,[C]Screen Shot 2018-05-26 at 14.46.41.png,
cjhnty6jwqr530702drtja5ws,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BNC%5DScreen%20Shot%202018-05-26%20at%2015.03.50.png?alt=media&token=d707351f-e590-48e2-b5b6-f8fea27d2d89,"{""Construction or no construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365443000,2.688,[NC]Screen Shot 2018-05-26 at 15.03.50.png,
cjhnty938qr5m0702s8dy37j7,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BNC%5D89.jpg?alt=media&token=ed99d5c3-176d-443f-a0a3-0794ae91f5a2,"{""Construction or no construction?"":""0""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365447000,3.264,[NC]89.jpg,
cjhntyb310gsp0756mo0hg81r,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhnpulmcqlaj0702e0ro44q2%2Fc3957d7f-cb68-4aa6-a730-3a7b55d4e994%2F%5BC%5Dtasty.jpg?alt=media&token=fbecb6a4-636d-41f1-993d-74141aeeb1d3,"{""Construction or no construction?"":""1""}",shereen.elaidi@mail.mcgill.ca,Construction!,1527365449000,2.67,[C]tasty.jpg,
